Row,Experiment,ID,Plant,Microbes,Treatment,Bio_rep,Rep,Time_Point,Nb,Root_Length
305,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,5,D07,NA,14
306,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,6,D07,NA,16
307,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,7,D07,NA,16
308,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,8,D07,NA,16
309,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,9,D07,NA,19
310,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,10,D07,NA,11
311,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,11,D07,NA,17
312,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,12,D07,NA,18
313,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,13,D07,NA,17
314,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,14,D07,NA,17
315,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,15,D07,NA,13
316,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,16,D07,NA,14
317,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,17,D07,NA,17
318,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,18,D07,NA,19
319,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,19,D07,NA,16
320,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,20,D07,NA,16
321,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,21,D07,NA,16
322,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,22,D07,NA,15
323,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,23,D07,NA,16
324,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,24,D07,NA,18
325,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,25,D07,NA,17
326,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,26,D07,NA,16
327,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,27,D07,NA,15
328,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,28,D07,NA,14
329,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,29,D07,NA,18
330,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,30,D07,NA,18
331,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,31,D07,NA,17
332,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,32,D07,NA,15
333,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,33,D07,NA,16
334,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,34,D07,NA,19
335,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,35,D07,NA,14
336,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,36,D07,NA,14
337,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,37,D07,NA,12
338,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,38,D07,NA,12
339,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,39,D07,NA,17
340,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,40,D07,NA,14
341,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,41,D07,NA,16
342,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,42,D07,NA,17
343,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,43,D07,NA,10
344,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,44,D07,NA,17
345,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,45,D07,NA,18
346,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,46,D07,NA,13
