,Strain1,Strain2,Host,Media,Growth,OD600,Phylum,Class,Order,Phylum_alternative
85,Bn_01,Bn_01,B_napus,3OMG,3-O-MG [Tf-T0],0.277266667,#N/A,#N/A,#N/A,#N/A
86,Bn_01,Bn_01,B_napus,3OMG,3-O-MG [Tf-T0],0.207955556,#N/A,#N/A,#N/A,#N/A
87,Bn_01,Bn_01,B_napus,3OMG,3-O-MG [Tf-T0],0.182811111,#N/A,#N/A,#N/A,#N/A
88,Bn_03,Bn_03,B_napus,3OMG,3-O-MG [Tf-T0],0.177411111,#N/A,#N/A,#N/A,#N/A
89,Bn_03,Bn_03,B_napus,3OMG,3-O-MG [Tf-T0],0.2296,#N/A,#N/A,#N/A,#N/A
90,Bn_03,Bn_03,B_napus,3OMG,3-O-MG [Tf-T0],0.209233333,#N/A,#N/A,#N/A,#N/A
91,Bn_05,Bn_05,B_napus,3OMG,3-O-MG [Tf-T0],0.207233333,#N/A,#N/A,#N/A,#N/A
92,Bn_05,Bn_05,B_napus,3OMG,3-O-MG [Tf-T0],0.236444444,#N/A,#N/A,#N/A,#N/A
93,Bn_05,Bn_05,B_napus,3OMG,3-O-MG [Tf-T0],0.200833333,#N/A,#N/A,#N/A,#N/A
97,Bn_06,Bn_06,B_napus,Glucose,Glucose [Tf-T0],0.202577778,#N/A,#N/A,#N/A,#N/A
98,Bn_06,Bn_06,B_napus,Glucose,Glucose [Tf-T0],0.245377778,#N/A,#N/A,#N/A,#N/A
99,Bn_06,Bn_06,B_napus,Glucose,Glucose [Tf-T0],0.251944444,#N/A,#N/A,#N/A,#N/A
100,Bn_07,Bn_07,B_napus,Glucose,Glucose [Tf-T0],0.259322222,#N/A,#N/A,#N/A,#N/A
101,Bn_07,Bn_07,B_napus,Glucose,Glucose [Tf-T0],0.266311111,#N/A,#N/A,#N/A,#N/A
102,Bn_07,Bn_07,B_napus,Glucose,Glucose [Tf-T0],0.264466667,#N/A,#N/A,#N/A,#N/A
103,Bn_08,Bn_08,B_napus,Glucose,Glucose [Tf-T0],0.354477778,#N/A,#N/A,#N/A,#N/A
104,Bn_08,Bn_08,B_napus,Glucose,Glucose [Tf-T0],0.3907,#N/A,#N/A,#N/A,#N/A
105,Bn_08,Bn_08,B_napus,Glucose,Glucose [Tf-T0],0.408833333,#N/A,#N/A,#N/A,#N/A
106,Bn_09,Bn_09,B_napus,Glucose,Glucose [Tf-T0],0.459933333,#N/A,#N/A,#N/A,#N/A
