	locus_name	symbol	full_name
5977	AT1G70560	TAA1	tryptophan aminotransferase of Arabidopsis 1
5978	AT1G70560	TIR2	TRANSPORT INHIBITOR RESPONSE 2
5979	AT1G70560	WEI8	WEAK ETHYLENE INSENSITIVE 8
5980	AT1G70580	AOAT2	alanine-2-oxoglutarate aminotransferase 2
5981	AT1G70580	GGT2	GLUTAMATE:GLYOXYLATE AMINOTRANSFERASE 2
5982	AT1G70600	uL15x	Ribosomal Protein uL15x
5983	AT1G70610	ABCB26	ATP-binding cassette B26
5984	AT1G70610	ATTAP1	transporter associated with antigen processing protein 1
5985	AT1G70610	TAP1	transporter associated with antigen processing protein 1
5986	AT1G70630	RAY1	REDUCED ARABINOSE YARIV 1
5987	AT1G70645	MIR777A	microRNA777A
5988	AT1G70660	MMZ2	MMS ZWEI homologue 2
5989	AT1G70660	UEV1B	UBIQUITIN E2 VARIANT 1B
5990	AT1G70670	AtCLO4	Arabidopsis thaliana caleosin 4
5991	AT1G70670	CLO4	caleosin 4
5992	AT1G70670	PXG4	peroxygenase 4
5993	AT1G70680	CLO6	NULL
5994	AT1G70690	HWI1	HOPW1-1-INDUCED GENE1
5995	AT1G70690	PDLP5	PLASMODESMATA-LOCATED PROTEIN 5
5996	AT1G70700	JAZ9	JASMONATE-ZIM-DOMAIN PROTEIN 9
5997	AT1G70700	TIFY7	NULL
5998	AT1G70710	ATGH9B1	glycosyl hydrolase 9B1
5999	AT1G70710	CEL1	CELLULASE 1
6000	AT1G70710	GH9B1	glycosyl hydrolase 9B1
6001	AT1G70730	PGM2	phosphoglucomutase 2
6002	AT1G70750	MyoB2	myosin binding protein 2
6003	AT1G70760	CRR23	CHLORORESPIRATORY REDUCTION 23
6004	AT1G70760	NdhL	NADH dehydrogenase-like complex L
6005	AT1G70790	CAR9	C2-domain ABA-related 9
6006	AT1G70800	CAR6	C2-domain ABA-related6
6007	AT1G70800	EHB1	ENHANCED BENDING 1
6008	AT1G70810	CAR7	C2-domain ABA-related7
6009	AT1G70830	MLP28	MLP-like protein 28
6010	AT1G70840	MLP31	MLP-like protein 31
