	Rep	Medium	Microbes	Carbon	Carbon2	Rep	Time	Area	Length
164	R1	MS	MF	OM.Mannose	Mannose	14	72h	0.22	2.549
165	R1	MS	MF	OM.Mannose	Mannose	15	72h	0.135	1.569
166	R1	MS	MF	OM.Mannose	Mannose	16	72h	0.234	2.76
167	R1	MS	MF	OM.Mannose	Mannose	17	72h	0.128	1.478
168	R1	MS	MF	OM.Mannose	Mannose	18	72h	0.085	0.991
169	R1	MS	MF	OM.Mannose	Mannose	19	72h	0.206	2.382
170	R1	MS	MF	OM.Mannose	Mannose	20	72h	0.263	3.059
171	R1	MS	MF	OM.Mannose	Mannose	21	72h	0.206	2.323
172	R1	MS	MF	OM.Mannose	Mannose	22	72h	0.128	1.455
173	R1	MS	MF	OM.Mannose	Mannose	23	72h	0.163	1.881
174	R1	MS	MF	OM.Mannose	Mannose	24	72h	0.178	1.885
175	R1	MS	MF	OM.Mannose	Mannose	25	72h	0.256	2.904
176	R1	MS	MF	OM.Mannose	Mannose	26	72h	0.241	2.828
177	R1	MS	MF	OM.Mannose	Mannose	27	72h	0.227	2.682
178	R1	MS	MF	OM.Mannose	Mannose	28	72h	0.27	3.19
179	R1	MS	MF	OM.Mannose	Mannose	29	72h	0.277	3.239
180	R1	MS	MF	OM.Mannose	Mannose	30	72h	0.206	2.393
181	R1	MS	MF	OM.Mannose	Mannose	31	72h	0.185	2.038
182	R1	MS	MF	OM.Mannose	Mannose	32	72h	0.305	3.45
183	R1	MS	MF	OM.Mannose	Mannose	33	72h	0.199	2.241
184	R1	MS	MF	OM.Mannose	Mannose	34	72h	0.227	2.624
185	R1	MS	MF	OM.Mannose	Mannose	35	72h	0.256	2.988
186	R1	MS	MF	OM.Mannose	Mannose	36	72h	0.234	2.644
187	R1	MS	MF	OM.Mannose	Mannose	37	72h	0.22	2.472
188	R1	MS	MF	OM.Mannose	Mannose	38	72h	0.192	2.098
189	R1	MS	MF	OM.Mannose	Mannose	39	72h	0.128	1.46
190	R1	MS	MF	OM.Mannose	Mannose	40	72h	0.234	2.633
191	R1	MS	MF	OM.Mannose	Mannose	41	72h	0.142	1.616
192	R1	MS	MF	OM.Mannose	Mannose	42	72h	0.22	2.437
193	R1	MS	MF	OM.Mannose	Mannose	43	72h	0.185	2.045
194	R1	MS	MF	OM.Mannose	Mannose	44	72h	0.199	2.263
195	R1	MS	MF	OM.Mannose	Mannose	45	72h	0.156	1.742
196	R1	MS	MF	OM.Mannose	Mannose	46	72h	0.206	2.386
197	R1	MS	MF	OM.Mannose	Mannose	47	72h	0.135	1.559
198	R1	MS	MF	OM.Mannose	Mannose	48	72h	0.199	2.106
199	R1	MS	MF	OM.Mannose	Mannose	49	72h	0.206	2.432
200	R1	MS	MF	OM.Mannose	Mannose	50	72h	0.213	2.538
201	R1	MS	MF	3OM.Glucose	Glucose	1	72h	0.178	2.06
202	R1	MS	MF	3OM.Glucose	Glucose	2	72h	0.256	2.997
203	R1	MS	MF	3OM.Glucose	Glucose	3	72h	0.256	2.963
204	R1	MS	MF	3OM.Glucose	Glucose	4	72h	0.469	5.317
205	R1	MS	MF	3OM.Glucose	Glucose	5	72h	0.256	2.91
206	R1	MS	MF	3OM.Glucose	Glucose	6	72h	0.277	3.091
207	R1	MS	MF	3OM.Glucose	Glucose	7	72h	0.27	3.032
208	R1	MS	MF	3OM.Glucose	Glucose	8	72h	0.249	2.776
209	R1	MS	MF	3OM.Glucose	Glucose	9	72h	0.241	2.865
210	R1	MS	MF	3OM.Glucose	Glucose	10	72h	0.27	3.159
211	R1	MS	MF	3OM.Glucose	Glucose	11	72h	0.284	3.287
212	R1	MS	MF	3OM.Glucose	Glucose	12	72h	0.27	3.091
213	R1	MS	MF	3OM.Glucose	Glucose	13	72h	0.206	2.444
214	R1	MS	MF	3OM.Glucose	Glucose	14	72h	0.241	2.736
215	R1	MS	MF	3OM.Glucose	Glucose	15	72h	0.078	0.807
216	R1	MS	MF	3OM.Glucose	Glucose	16	72h	0.263	3.006
217	R1	MS	MF	3OM.Glucose	Glucose	17	72h	0.249	2.891
218	R1	MS	MF	3OM.Glucose	Glucose	18	72h	0.234	2.772
219	R1	MS	MF	3OM.Glucose	Glucose	19	72h	0.213	2.442
220	R1	MS	MF	3OM.Glucose	Glucose	20	72h	0.149	1.722
221	R1	MS	MF	3OM.Glucose	Glucose	21	72h	0.227	2.652
222	R1	MS	MF	3OM.Glucose	Glucose	22	72h	0.135	1.534
223	R1	MS	MF	3OM.Glucose	Glucose	23	72h	0.234	2.739
224	R1	MS	MF	3OM.Glucose	Glucose	24	72h	0.213	2.445
225	R1	MS	MF	3OM.Glucose	Glucose	25	72h	0.241	2.81
226	R1	MS	MF	3OM.Glucose	Glucose	26	72h	0.234	2.728
227	R1	MS	MF	3OM.Glucose	Glucose	27	72h	0.241	2.79
