TranscriptID	Control_3OMG_F16_1	Control_3OMG_F16_2	Control_3OMG_F16_3	Control_3OMG_F16_4	Control_Water_F16_1	Control_Water_F16_2	Control_Water_F16_3	Plant_3OMG_F16_1	Plant_3OMG_F16_2	Plant_3OMG_F16_3	Plant_3OMG_F16_4	m3OMG_microbeFree_1	m3OMG_microbeFree_2	m3OMG_microbeFree_3	m3OMG_microbeFree_4	Plant_Water_F16_1	Plant_Water_F16_2	Plant_Water_F16_3	Plant_Water_F16_4	water_microbeFree_1	water_microbeFree_2	water_microbeFree_3	water_microbeFree_4
gene_1023	2	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
gene_1034	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
gene_1040	2	6	2	2	3	3	4	0	4	2	2	0	0	0	0	2	1	6	2	0	0	0	0
gene_1041	31	49	19	63	40	56	79	3	14	6	7	0	0	0	0	32	6	15	8	0	0	0	0
gene_1048	4	2	6	2	4	11	5	9	1	4	1	0	0	0	0	5	0	1	0	0	0	0	0
gene_1059	5	18	16	7	7	11	8	3	3	2	0	0	0	0	0	0	0	1	0	0	0	0	0
gene_1068	110	91	88	124	85	151	124	26	37	59	28	0	0	0	0	81	40	69	44	0	0	0	0
gene_1069	17	18	14	13	8	26	25	2	3	3	2	0	0	0	0	16	1	6	3	0	0	0	0
gene_1091	51	53	56	47	46	37	27	7	9	7	9	0	0	0	0	12	5	7	2	0	0	0	0
gene_1098	0	1	1	6	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
gene_1121	0	5	0	9	2	12	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
gene_1128	1	2	6	2	1	1	2	1	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0
gene_1136	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_1138	12	3	6	8	5	3	9	0	4	5	0	0	0	0	0	9	1	1	4	0	0	0	0
gene_1148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_1153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_1160	15	12	16	29	20	36	27	5	4	8	2	0	0	0	0	8	4	7	3	0	0	0	0
gene_1220	30	29	44	33	43	55	60	1	1	0	1	0	0	0	0	1	1	3	5	0	0	0	0
gene_1223	19	64	29	36	37	59	45	3	5	1	7	0	0	0	0	9	2	6	3	0	0	0	0
gene_1224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
