ID,Time_Points,Microbes,Concentration_3OMG,Concentration_3OMG_2,Tech_Rep,Root_length
72h_MF_0.9_0.9_mM_31,72h,MF,0.9,0.9_mM,31,0.217
72h_MF_0.9_0.9_mM_32,72h,MF,0.9,0.9_mM,32,0.241
72h_MF_0.9_0.9_mM_33,72h,MF,0.9,0.9_mM,33,0.087
72h_MF_0.9_0.9_mM_34,72h,MF,0.9,0.9_mM,34,0.161
72h_MF_0.9_0.9_mM_35,72h,MF,0.9,0.9_mM,35,0.038
72h_MF_0.9_0.9_mM_36,72h,MF,0.9,0.9_mM,36,0.194
72h_MF_0.9_0.9_mM_37,72h,MF,0.9,0.9_mM,37,0.308
72h_FSC_0.9_0.9_mM_1,72h,FSC,0.9,0.9_mM,1,0.108
72h_FSC_0.9_0.9_mM_2,72h,FSC,0.9,0.9_mM,2,0.216
72h_FSC_0.9_0.9_mM_3,72h,FSC,0.9,0.9_mM,3,0.239
72h_FSC_0.9_0.9_mM_4,72h,FSC,0.9,0.9_mM,4,0.262
72h_FSC_0.9_0.9_mM_5,72h,FSC,0.9,0.9_mM,5,0.269
72h_FSC_0.9_0.9_mM_6,72h,FSC,0.9,0.9_mM,6,0.189
72h_FSC_0.9_0.9_mM_7,72h,FSC,0.9,0.9_mM,7,0.164
72h_FSC_0.9_0.9_mM_8,72h,FSC,0.9,0.9_mM,8,0.252
72h_FSC_0.9_0.9_mM_9,72h,FSC,0.9,0.9_mM,9,0.194
72h_FSC_0.9_0.9_mM_10,72h,FSC,0.9,0.9_mM,10,0.168
72h_FSC_0.9_0.9_mM_11,72h,FSC,0.9,0.9_mM,11,0.177
72h_FSC_0.9_0.9_mM_12,72h,FSC,0.9,0.9_mM,12,0.165
72h_FSC_0.9_0.9_mM_13,72h,FSC,0.9,0.9_mM,13,0.144
72h_FSC_0.9_0.9_mM_14,72h,FSC,0.9,0.9_mM,14,0.078
72h_FSC_0.9_0.9_mM_15,72h,FSC,0.9,0.9_mM,15,0.208
72h_FSC_0.9_0.9_mM_16,72h,FSC,0.9,0.9_mM,16,0.167
72h_FSC_0.9_0.9_mM_17,72h,FSC,0.9,0.9_mM,17,0.096
72h_FSC_0.9_0.9_mM_18,72h,FSC,0.9,0.9_mM,18,0.17
72h_FSC_0.9_0.9_mM_19,72h,FSC,0.9,0.9_mM,19,0.149
72h_FSC_0.9_0.9_mM_20,72h,FSC,0.9,0.9_mM,20,0.144
72h_FSC_0.9_0.9_mM_21,72h,FSC,0.9,0.9_mM,21,0.266
72h_FSC_0.9_0.9_mM_22,72h,FSC,0.9,0.9_mM,22,0.527
72h_FSC_0.9_0.9_mM_23,72h,FSC,0.9,0.9_mM,23,0.097
72h_FSC_0.9_0.9_mM_24,72h,FSC,0.9,0.9_mM,24,0.277
72h_FSC_0.9_0.9_mM_25,72h,FSC,0.9,0.9_mM,25,0.176
72h_FSC_0.9_0.9_mM_26,72h,FSC,0.9,0.9_mM,26,0.191
72h_FSC_0.9_0.9_mM_27,72h,FSC,0.9,0.9_mM,27,0.165
72h_FSC_0.9_0.9_mM_28,72h,FSC,0.9,0.9_mM,28,0.093
72h_MF_0.1_0.1_mM_1,72h,MF,0.1,0.1_mM,1,0.277
72h_MF_0.1_0.1_mM_2,72h,MF,0.1,0.1_mM,2,0.209
72h_MF_0.1_0.1_mM_3,72h,MF,0.1,0.1_mM,3,0.187
72h_MF_0.1_0.1_mM_4,72h,MF,0.1,0.1_mM,4,0.263
72h_MF_0.1_0.1_mM_5,72h,MF,0.1,0.1_mM,5,0.259
72h_MF_0.1_0.1_mM_6,72h,MF,0.1,0.1_mM,6,0.186
72h_MF_0.1_0.1_mM_7,72h,MF,0.1,0.1_mM,7,0.248
72h_MF_0.1_0.1_mM_8,72h,MF,0.1,0.1_mM,8,0.255
72h_MF_0.1_0.1_mM_9,72h,MF,0.1,0.1_mM,9,0.142
72h_MF_0.1_0.1_mM_10,72h,MF,0.1,0.1_mM,10,0.194
72h_MF_0.1_0.1_mM_11,72h,MF,0.1,0.1_mM,11,0.26
72h_MF_0.1_0.1_mM_12,72h,MF,0.1,0.1_mM,12,0.19
72h_MF_0.1_0.1_mM_13,72h,MF,0.1,0.1_mM,13,0.126
72h_MF_0.1_0.1_mM_14,72h,MF,0.1,0.1_mM,14,0.292
72h_MF_0.1_0.1_mM_15,72h,MF,0.1,0.1_mM,15,0.141
72h_MF_0.1_0.1_mM_16,72h,MF,0.1,0.1_mM,16,0.147
72h_MF_0.1_0.1_mM_17,72h,MF,0.1,0.1_mM,17,0.097
72h_MF_0.1_0.1_mM_18,72h,MF,0.1,0.1_mM,18,0.211
72h_MF_0.1_0.1_mM_19,72h,MF,0.1,0.1_mM,19,0.098
72h_MF_0.1_0.1_mM_20,72h,MF,0.1,0.1_mM,20,0.107
72h_MF_0.1_0.1_mM_21,72h,MF,0.1,0.1_mM,21,0.184
72h_MF_0.1_0.1_mM_22,72h,MF,0.1,0.1_mM,22,0.253
72h_MF_0.1_0.1_mM_23,72h,MF,0.1,0.1_mM,23,0.199
72h_MF_0.1_0.1_mM_24,72h,MF,0.1,0.1_mM,24,0.271
72h_MF_0.1_0.1_mM_25,72h,MF,0.1,0.1_mM,25,0.219
72h_MF_0.1_0.1_mM_26,72h,MF,0.1,0.1_mM,26,0.214
72h_MF_0.1_0.1_mM_27,72h,MF,0.1,0.1_mM,27,0.235
72h_MF_0.1_0.1_mM_28,72h,MF,0.1,0.1_mM,28,0.179
