	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S3	S4	S5	S6	S7	S8	S9
fce3097e3fe6b714130e55745b12786b	8.0	0.0	300.0	6.0	342.0	8.0	0.0	17.0	0.0	6078.0	724.0	7.0	220.0	7.0	10.0	792.0	0.0	0.0	0.0	0.0	0.0	300.0	5.0	12.0	0.0
d2c9f58af312c4a385ed0cebd4f54cfe	1143.0	314.0	0.0	0.0	0.0	219.0	0.0	0.0	0.0	406.0	0.0	521.0	0.0	109.0	0.0	266.0	606.0	0.0	0.0	280.0	0.0	253.0	0.0	4529.0	158.0
db643bd112c2c1d06286231da53ce981	24.0	0.0	15.0	42.0	11.0	18.0	21.0	26.0	513.0	5067.0	0.0	25.0	3.0	0.0	81.0	0.0	22.0	0.0	476.0	6.0	154.0	15.0	0.0	2111.0	9.0
6ff75aed076f3f4e4a71a8625a86adb1	1204.0	556.0	259.0	11.0	0.0	130.0	8.0	27.0	0.0	14.0	252.0	9.0	0.0	266.0	10.0	11.0	9.0	0.0	8.0	0.0	2.0	51.0	42.0	5661.0	22.0
123f050aa5e86f13568c554f04595f40	0.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	74.0	671.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0	333.0	0.0	0.0	7289.0	0.0
da0e0f924c0efa7d969f2b3493db08e0	4.0	8.0	861.0	123.0	205.0	83.0	99.0	0.0	0.0	2331.0	174.0	1186.0	0.0	0.0	188.0	638.0	471.0	0.0	400.0	86.0	43.0	154.0	22.0	1318.0	0.0
d371a8fdfef60b0b1e01b8680e6d7935	413.0	600.0	312.0	230.0	0.0	312.0	166.0	45.0	194.0	0.0	1235.0	2436.0	0.0	0.0	199.0	335.0	512.0	0.0	643.0	0.0	150.0	227.0	271.0	0.0	73.0
c316b2b2ee9f67e3f7c3307819a907a1	25.0	7.0	89.0	81.0	5.0	0.0	162.0	16.0	5.0	8.0	1736.0	20.0	0.0	0.0	19.0	107.0	300.0	0.0	3507.0	594.0	8.0	59.0	0.0	1220.0	248.0
2954bcc7d2ca350ffd81a918b408071f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8071.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6b9991e3a9170f40928a309ec491c7f7	500.0	14.0	260.0	158.0	4.0	0.0	5.0	3.0	6.0	449.0	41.0	123.0	0.0	150.0	15.0	0.0	29.0	0.0	3.0	624.0	0.0	277.0	0.0	3.0	4815.0
8158f641c2a3fc9a95953010210b5f56	0.0	0.0	0.0	0.0	254.0	464.0	57.0	0.0	0.0	1153.0	620.0	3536.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	222.0	382.0	374.0	165.0	0.0	0.0
8e2af3401b81781b0d02c614b665b672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7082.0	0.0
a65cb0535a1c08e61476a9ae3a945b4a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6887.0	0.0	0.0	0.0	0.0
381f4a3aed69fd3e8f15f4848fd507c8	5.0	3.0	96.0	451.0	0.0	11.0	18.0	4.0	0.0	2.0	29.0	3.0	0.0	8.0	5.0	4.0	0.0	0.0	93.0	0.0	2.0	6140.0	0.0	8.0	0.0
2d8337e8a1f95dbc40b44a6c0c41da0b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6860.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4b586d5254d8ebd115fc0102be953d0b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6847.0	0.0
d26f5b2f2ec434980fab9a95921756e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6613.0	0.0	0.0	0.0	0.0	0.0	0.0
41a396c0a932faa5e77af7ca295e36f2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6464.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
07effc9865e22039dfa0f957667e9f7e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6438.0	0.0
d7fb1b6cecb7fb2feaef80cf200144a6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6314.0	0.0	0.0	0.0	0.0	0.0	0.0
4d74489025f36469ec0e54b98f217825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6070.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
