"Plate";"Plate_Well";"Well";"Condition";"475nm/510nm";"600nm";"row";"col";"borders";"mad_475nm_510nm";"median_475nm_510nm";"TH_low";"TH_high";"adj475nm/510nm";"Interest"
60;"60_H3";"H3";"B329_WT+F16";757;0.1219;"H";"3";"y";99.3342;878;NA;NA;0.862186788154897;"No"
60;"60_H4";"H4";"B329_WT+F16";757;0.115800001;"H";"4";"y";99.3342;878;NA;NA;0.862186788154897;"No"
61;"61_H1";"H1";"B329_WT+F16";812;0.125100002;"H";"1";"y";57.0801;857.5;NA;NA;0.946938775510204;"No"
61;"61_H2";"H2";"B329_WT+F16";685;0.112999998;"H";"2";"y";57.0801;857.5;NA;NA;0.798833819241982;"No"
61;"61_H3";"H3";"B329_WT+F16";735;0.118100002;"H";"3";"y";57.0801;857.5;NA;NA;0.857142857142857;"No"
61;"61_H4";"H4";"B329_WT+F16";915;0.127299994;"H";"4";"y";57.0801;857.5;NA;NA;1.06705539358601;"No"
62;"62_H1";"H1";"B329_WT+F16";725;0.120200001;"H";"1";"y";71.1648;867.5;NA;NA;0.835734870317003;"No"
62;"62_H2";"H2";"B329_WT+F16";711;0.117200002;"H";"2";"y";71.1648;867.5;NA;NA;0.819596541786744;"No"
62;"62_H3";"H3";"B329_WT+F16";690;0.121399999;"H";"3";"y";71.1648;867.5;NA;NA;0.795389048991354;"No"
62;"62_H4";"H4";"B329_WT+F16";755;0.129899994;"H";"4";"y";71.1648;867.5;NA;NA;0.870317002881844;"No"
63;"63_H1";"H1";"B329_WT+F16";758;0.120999999;"H";"1";"y";101.5581;856;NA;NA;0.885514018691589;"No"
63;"63_H2";"H2";"B329_WT+F16";788;0.131600007;"H";"2";"y";101.5581;856;NA;NA;0.920560747663551;"No"
63;"63_H3";"H3";"B329_WT+F16";687;0.116400003;"H";"3";"y";101.5581;856;NA;NA;0.802570093457944;"No"
63;"63_H4";"H4";"B329_WT+F16";743;0.122900002;"H";"4";"y";101.5581;856;NA;NA;0.867990654205608;"No"
64;"64_H1";"H1";"B329_WT+F16";837;0.143999994;"H";"1";"y";127.5036;920;NA;NA;0.909782608695652;"No"
64;"64_H2";"H2";"B329_WT+F16";813;0.1382;"H";"2";"y";127.5036;920;NA;NA;0.883695652173913;"No"
64;"64_H3";"H3";"B329_WT+F16";977;0.153799996;"H";"3";"y";127.5036;920;NA;NA;1.06195652173913;"No"
64;"64_H4";"H4";"B329_WT+F16";826;0.144099995;"H";"4";"y";127.5036;920;NA;NA;0.897826086956522;"No"
65;"65_H1";"H1";"B329_WT+F16";992;0.1671;"H";"1";"y";206.0814;1024.5;NA;NA;0.968277208394339;"No"
65;"65_H2";"H2";"B329_WT+F16";935;0.158;"H";"2";"y";206.0814;1024.5;NA;NA;0.912640312347487;"No"
65;"65_H3";"H3";"B329_WT+F16";887;0.1538;"H";"3";"y";206.0814;1024.5;NA;NA;0.865788189360664;"No"
65;"65_H4";"H4";"B329_WT+F16";1038;0.1483;"H";"4";"y";206.0814;1024.5;NA;NA;1.01317715959004;"No"
66;"66_H1";"H1";"B329_WT+F16";838;0.1381;"H";"1";"y";157.8969;937.5;NA;NA;0.893866666666667;"No"
66;"66_H2";"H2";"B329_WT+F16";866;0.1394;"H";"2";"y";157.8969;937.5;NA;NA;0.923733333333333;"No"
66;"66_H3";"H3";"B329_WT+F16";917;0.1484;"H";"3";"y";157.8969;937.5;NA;NA;0.978133333333333;"No"
66;"66_H4";"H4";"B329_WT+F16";891;0.144;"H";"4";"y";157.8969;937.5;NA;NA;0.9504;"No"
67;"67_H1";"H1";"B329_WT+F16";821;0.1479;"H";"1";"y";100.8168;868;NA;NA;0.945852534562212;"No"
67;"67_H2";"H2";"B329_WT+F16";798;0.1353;"H";"2";"y";100.8168;868;NA;NA;0.919354838709677;"No"
67;"67_H3";"H3";"B329_WT+F16";822;0.1424;"H";"3";"y";100.8168;868;NA;NA;0.947004608294931;"No"
67;"67_H4";"H4";"B329_WT+F16";863;0.141;"H";"4";"y";100.8168;868;NA;NA;0.994239631336406;"No"
68;"68_H1";"H1";"B329_WT+F16";862;0.1537;"H";"1";"y";93.4038;848;NA;NA;1.01650943396226;"No"
68;"68_H2";"H2";"B329_WT+F16";825;0.141;"H";"2";"y";93.4038;848;NA;NA;0.972877358490566;"No"
68;"68_H3";"H3";"B329_WT+F16";846;0.1427;"H";"3";"y";93.4038;848;NA;NA;0.997641509433962;"No"
68;"68_H4";"H4";"B329_WT+F16";855;0.1387;"H";"4";"y";93.4038;848;NA;NA;1.00825471698113;"No"
69;"69_H1";"H1";"B329_WT+F16";777;0.1392;"H";"1";"y";167.5338;952.5;NA;NA;0.815748031496063;"No"
69;"69_H2";"H2";"B329_WT+F16";749;0.1308;"H";"2";"y";167.5338;952.5;NA;NA;0.786351706036745;"No"
69;"69_H3";"H3";"B329_WT+F16";786;0.1351;"H";"3";"y";167.5338;952.5;NA;NA;0.825196850393701;"No"
69;"69_H4";"H4";"B329_WT+F16";841;0.1326;"H";"4";"y";167.5338;952.5;NA;NA;0.882939632545932;"No"
70;"70_H1";"H1";"B329_WT+F16";792;0.1381;"H";"1";"y";108.2298;900.5;NA;NA;0.879511382565242;"No"
70;"70_H2";"H2";"B329_WT+F16";820;0.1315;"H";"2";"y";108.2298;900.5;NA;NA;0.910605219322599;"No"
70;"70_H3";"H3";"B329_WT+F16";846;0.1359;"H";"3";"y";108.2298;900.5;NA;NA;0.939478067740144;"No"
70;"70_H4";"H4";"B329_WT+F16";895;0.14;"H";"4";"y";108.2298;900.5;NA;NA;0.993892282065519;"No"
71;"71_H1";"H1";"B329_WT+F16";871;0.1408;"H";"1";"y";134.9166;872;NA;NA;0.998853211009174;"No"
71;"71_H2";"H2";"B329_WT+F16";844;0.138;"H";"2";"y";134.9166;872;NA;NA;0.967889908256881;"No"
71;"71_H3";"H3";"B329_WT+F16";867;0.1368;"H";"3";"y";134.9166;872;NA;NA;0.994266055045872;"No"
71;"71_H4";"H4";"B329_WT+F16";864;0.1401;"H";"4";"y";134.9166;872;NA;NA;0.990825688073395;"No"
72;"72_H1";"H1";"B329_WT+F16";931;0.1602;"H";"1";"y";89.6973;826.5;NA;NA;1.1264367816092;"No"
72;"72_H2";"H2";"B329_WT+F16";789;0.1398;"H";"2";"y";89.6973;826.5;NA;NA;0.954627949183303;"No"
72;"72_H3";"H3";"B329_WT+F16";816;0.143;"H";"3";"y";89.6973;826.5;NA;NA;0.987295825771325;"No"
72;"72_H4";"H4";"B329_WT+F16";841;0.1423;"H";"4";"y";89.6973;826.5;NA;NA;1.01754385964912;"No"
74;"74_H1";"H1";"B329_WT+F16";680;0.1349;"H";"1";"y";121.5732;808.5;NA;NA;0.841063698206555;"No"
74;"74_H2";"H2";"B329_WT+F16";669;0.1277;"H";"2";"y";121.5732;808.5;NA;NA;0.827458256029685;"No"
74;"74_H3";"H3";"B329_WT+F16";710;0.1325;"H";"3";"y";121.5732;808.5;NA;NA;0.878169449598021;"No"
74;"74_H4";"H4";"B329_WT+F16";771;0.1431;"H";"4";"y";121.5732;808.5;NA;NA;0.953617810760668;"No"
75;"75_H1";"H1";"B329_WT+F16";858;0.1643;"H";"1";"y";123.7971;662;NA;NA;1.29607250755287;"No"
75;"75_H2";"H2";"B329_WT+F16";841;0.1661;"H";"2";"y";123.7971;662;NA;NA;1.27039274924471;"No"
75;"75_H3";"H3";"B329_WT+F16";916;0.143;"H";"3";"y";123.7971;662;NA;NA;1.38368580060423;"No"
75;"75_H4";"H4";"B329_WT+F16";753;0.1551;"H";"4";"y";123.7971;662;NA;NA;1.13746223564955;"No"
76;"76_H1";"H1";"B329_WT+F16";598;0.1236;"H";"1";"y";63.0105;565.5;NA;NA;1.05747126436782;"No"
76;"76_H2";"H2";"B329_WT+F16";546;0.1227;"H";"2";"y";63.0105;565.5;NA;NA;0.96551724137931;"No"
76;"76_H3";"H3";"B329_WT+F16";618;0.126;"H";"3";"y";63.0105;565.5;NA;NA;1.09283819628647;"No"
