	SAMPLE_ID	GROUP	Plant	Treatment	Time	Mg.Plant	Unit	Compound	Labelled	PEAK_AREA	PEAK_AREA_Norm
122	10_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.01253	Milligrams	13C_citric_00	No	5291275326	4.22289E+11
123	11_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.0146	Milligrams	13C_citric_00	No	5623213337	3.85152E+11
124	12_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.0172	Milligrams	13C_citric_00	No	7871265776	4.57632E+11
125	13_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.01189	Milligrams	13C_citric_00	No	5349238988	4.49894E+11
126	14_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.01859	Milligrams	13C_citric_00	No	7155288470	3.849E+11
127	15_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.02102	Milligrams	13C_citric_00	No	7348305438	3.49586E+11
128	16_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.02745	Milligrams	13C_citric_00	No	8187029107	2.98252E+11
129	17_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.06864	Milligrams	13C_citric_00	No	18392063900	2.6795E+11
130	18_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.05491	Milligrams	13C_citric_00	No	13474580546	2.45394E+11
131	19_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.06627	Milligrams	13C_citric_00	No	13474010379	2.0332E+11
132	20_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.05377	Milligrams	13C_citric_00	No	14388977170	2.67602E+11
133	21_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.04707	Milligrams	13C_citric_00	No	11450059735	2.43256E+11
134	22_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.04385	Milligrams	13C_citric_00	No	12187207156	2.77929E+11
135	23_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.06271	Milligrams	13C_citric_00	No	18072802238	2.88196E+11
136	24_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.02978	Milligrams	13C_citric_00	No	13395809546	4.49826E+11
137	Pool_cells_01	POOL	cells	1	Control	NA	Milligrams	13C_citric_00	No	8136929483	NA
138	Pool_cells_02	POOL	cells	2	Control	NA	Milligrams	13C_citric_00	No	9563316682	NA
139	Pool_cells_03	POOL	cells	3	Control	NA	Milligrams	13C_citric_00	No	9859992057	NA
140	00_Ctrl_Ctrl_Ctrl	ctrol::ctrol::1W	Ctrl	Ctrl	Ctrl	NA	Milligrams	13C_citric_00	No	131664001	NA
141	01_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01786	Milligrams	13C	No	126126182	7061936282
142	02_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01677	Milligrams	13C	No	262822139	15672160942
143	03_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.05809	Milligrams	13C	No	223916333	3854645085
144	04_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.03514	Milligrams	13C	No	292950942	8336680194
145	05_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.01604	Milligrams	13C	No	128793973	8029549439
146	06_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.0211	Milligrams	13C	No	124460754	5898613934
