	ID2	System	Plant	Experiment	Bio_rep	Tech_Rep	Microbes	Treatment	Element	Weight	Tube	Tube+element	Microbial ID	Primers	CT	UBQ10	Kingdom
53	Flowpots_Arabidopsis_thaliana_MiniSC_1_5_BSC_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	5	BSC	Water	Matrix	577.2	1945	2522.2	MiniSC	Primer_16S	13.65		Bacteria
54	Flowpots_Arabidopsis_thaliana_MiniSC_1_6_BSC_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	6	BSC	Water	Matrix	448.7	1911.9	2360.6	MiniSC	Primer_16S	14.7		Bacteria
55	Flowpots_Arabidopsis_thaliana_MiniSC_1_7_BSC_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	7	BSC	Water	Matrix	405.7	1999	2404.7	MiniSC	Primer_16S	14.48		Bacteria
56	Flowpots_Arabidopsis_thaliana_MiniSC_1_8_BSC_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	8	BSC	Water	Matrix	369.7	1973.3	2343	MiniSC	Primer_16S	14.52		Bacteria
57	Flowpots_Arabidopsis_thaliana_MiniSC_1_1_BSC_Glucose_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	1	BSC	Glucose	Matrix	381.3	2014.8	2396.1	MiniSC	Primer_16S	13.66		Bacteria
58	Flowpots_Arabidopsis_thaliana_MiniSC_1_2_BSC_Glucose_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	2	BSC	Glucose	Matrix	382.9	1859.9	2242.8	MiniSC	Primer_16S	14.02		Bacteria
59	Flowpots_Arabidopsis_thaliana_MiniSC_1_3_BSC_Glucose_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	3	BSC	Glucose	Matrix	461.2	1924.1	2385.3	MiniSC	Primer_16S	13.44		Bacteria
60	Flowpots_Arabidopsis_thaliana_MiniSC_1_4_BSC_Glucose_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	4	BSC	Glucose	Matrix	811.7	1840.9	2652.6	MiniSC	Primer_16S	13.3		Bacteria
61	Flowpots_Arabidopsis_thaliana_MiniSC_1_5_BSC_Glucose_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	5	BSC	Glucose	Matrix	370.1	1937.8	2307.9	MiniSC	Primer_16S	14.39		Bacteria
62	Flowpots_Arabidopsis_thaliana_MiniSC_1_6_BSC_Glucose_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	6	BSC	Glucose	Matrix	441	1862.5	2303.5	MiniSC	Primer_16S	13.6		Bacteria
