1	Well	Plate_ID	OD600	Plecto_ID	Plecto_ID2	Condition	Replicate
204	A11	Plecto_MF_3	0.099600002	P48	P48	MF	3
205	A12	Plecto_MF_3	0.096600004	P49	P49	MF	3
206	B1	Plecto_MF_3	0.093000002	P50	P50	MF	3
207	B2	Plecto_MF_3	0.088299997	P51	P51	MF	3
208	B3	Plecto_MF_3	0.088100001	P52	P52	MF	3
209	B4	Plecto_MF_3	0.088200003	P54	P54	MF	3
210	B5	Plecto_MF_3	0.089199997	P55	P55	MF	3
211	B6	Plecto_MF_3	0.088799998	P56	P56	MF	3
212	B7	Plecto_MF_3	0.087200001	P57	P57	MF	3
213	B8	Plecto_MF_3	0.090300001	P58	P58	MF	3
214	B9	Plecto_MF_3	0.088399999	P59	P59	MF	3
215	B10	Plecto_MF_3	0.090400003	P60	P60	MF	3
216	B11	Plecto_MF_3	0.088100001	P61	P61	MF	3
217	B12	Plecto_MF_3	0.096299998	P62	P62	MF	3
218	C1	Plecto_MF_3	0.0902	P63	P63	MF	3
219	C2	Plecto_MF_3	0.090599999	P64	P64	MF	3
220	C3	Plecto_MF_3	0.092600003	P65	P65	MF	3
221	C4	Plecto_MF_3	0.087300003	P66	P66	MF	3
222	C5	Plecto_MF_3	0.085600004	P67	P67	MF	3
223	C6	Plecto_MF_3	0.088200003	P68	P68	MF	3
224	C7	Plecto_MF_3	0.088200003	P117	P117	MF	3
225	C8	Plecto_MF_3	0.090099998	P143	P143	MF	3
226	C9	Plecto_MF_3	0.0867	P340	P340	MF	3
227	C10	Plecto_MF_3	0.088	P421	P421	MF	3
228	C11	Plecto_MF_3	0.088399999	P455	P455	MF	3
229	C12	Plecto_MF_3	0.108199999	P612	P612	MF	3
230	D1	Plecto_MF_3	0.085600004	MgCl2	MgCl2	MF	3
231	D2	Plecto_MF_3	0.082900003	MgCl2	MgCl2	MF	3
232	D3	Plecto_MF_3	0.083800003	MgCl2	MgCl2	MF	3
233	D4	Plecto_MF_3	0.083400004	MgCl2	MgCl2	MF	3
234	D5	Plecto_MF_3	0.082599998	MgCl2	MgCl2	MF	3
235	D6	Plecto_MF_3	0.083099999	MgCl2	MgCl2	MF	3
236	D7	Plecto_MF_3	0.090000004	P1	P1	MF	3
